순위,단어,품사,등급,카테고리
10400,공연하다02,동,C,기타
6017,공연히02,부,C,기타
2950,공원03,명,A,장소
685,공장02,명,B,기타
8313,공주01,명,C,기타
3676,공중03,명,C,기타
8672,공중전화,명,A,감정 및 상태
6540,공짜,명,B,기타
5179,공책01,명,A,문화 및 사회
8673,공통,명,C,기타
6541,공통되다,동,C,기타
6362,공통적,명,C,기타
7696,공통점,명,C,기타
2152,공포08,명,C,기타
2433,공항02,명,A,기타
20070,공항버스,명,B,기타
3677,공해01,명,C,기타
9466,공휴일,명,A,직업 및 활동
3105,과04,명,C,기타
996,과10,명,A,기타
8674,과거02,명,C,기타
549,과거03,명,B,기타
2704,과목02,명,B,기타
865,과연01,부,C,기타
7701,과외,명,C,기타
1491,과일01,명,A,음식
4402,과자02,명,A,기타
2351,과장07,명,B,기타
188,과정03,명,C,기타
6018,과정04,명,C,기타
1259,과제04,명,B,기타
346,과학,명,B,기타
1718,과학자,명,B,기타
2734,과학적,명,B,기타
1814,관객,명,B,기타
152,관계05,명,B,기타
3791,관계되다,동,C,기타
5077,관계없이,부,C,기타
967,관계자,명,C,기타
1719,관광02,명,B,기타
3730,관광객,명,B,기타
20077,관광버스,명,C,기타
7182,관광지,명,B,기타
2189,관념02,명,C,기타
9923,관람,명,C,기타
7453,관람객,명,C,기타
420,관련,명,B,기타
1288,관련되다,동,B,기타
1481,관련하다,동,B,기타
2646,관리01,명,C,기타
858,관리04,명,B,기타
3909,관리하다,동,C,기타
3566,관습,명,C,기타
312,관심01,명,B,기타
5720,관심사,명,C,기타
839,관점02,명,C,기타
3216,관찰01,명,C,기타
2070,관찰하다,동,B,기타
301,관하다02,동,B,기타
3567,광경,명,C,기타
316,광고02,명,B,기타
3392,광장02,명,C,기타
,광주,고,B,기타
813,괜찮다,형,A,기타
2071,괜히,부,B,기타
3910,괴로움,명,C,기타
9474,괴로워하다,동,C,기타
3516,괴롭다,형,B,기타
4489,괴롭히다,동,C,기타
9052,굉장하다,형,C,기타
2190,굉장히,부,B,기타
2887,교과서,명,A,기타
7703,교내01,명,C,기타
5582,교대01,명,C,기타
2402,교류01,명,B,기타
6961,교문01,명,B,기타
7185,교복01,명,C,기타
474,교사09,명,C,기타
371,교수06,명,A,기타
9475,교시03,의,C,기타
1339,교실,명,A,기타
4115,교양02,명,C,기타
9930,교외01,명,C,기타
198,교육,명,B,기타
9931,교육비,명,C,기타
6363,교육자,명,C,기타
1103,교장03,명,C,기타
6364,교재01,명,C,기타
4769,교직04,명,C,기타
4403,교체01,명,C,기타
1249,교통01,명,A,기타
3517,교통사고,명,B,기타
7186,교포02,명,B,기타
3107,교환01,명,B,기타
4582,교환하다01,동,C,기타
1708,교회02,명,A,기타
3973,교훈02,명,C,기타
10999,구01,수,A,기타
7705,구15,명,C,기타
2705,구경01,명,A,기타
3176,구경하다,동,B,기타
3217,구두01,명,A,기타
3974,구르다01,동,C,기타
2493,구름01,명,A,기타
2055,구멍,명,B,기타
4490,구별02,명,C,기타
5722,구별되다,동,C,기타
3731,구별하다,동,C,기타
2590,구분06,명,C,기타
5181,구분되다,동,C,기타
2735,구분하다03,동,C,기타
2494,구석01,명,C,기타
4259,구석구석,명,C,기타
853,구성07,명,C,기타
1397,구성되다,동,C,기타
1684,구성하다,동,C,기타
1351,구속02,명,C,기타
3346,구속되다,동,C,기타
4770,구속하다01,동,C,기타
,구십,수,A,기타
2037,구역04,명,C,기타
1076,구월02,명,A,기타
5182,구입03,명,C,기타
2229,구입하다03,동,C,기타
350,구조08,명,C,기타
5583,구청02,명,C,기타
769,구체적,명,B,기타
1125,구하다01,동,B,기타
6187,구하다03,동,B,기타
3732,국01,명,B,기타
141,국가01,명,B,기타
8682,국가적,명,C,기타
8014,국기07,명,B,기타
447,국내02,명,B,기타
18114,국내선,명,C,기타
5584,국내외,명,C,기타
9934,국립,명,B,기타
3177,국물,명,B,기타
235,국민,명,B,기타
15251,국민적,명,C,기타
5723,국사03,명,C,기타
3792,국산,명,C,자연 및 환경
6022,국수01,명,B,기타
3108,국어01,명,B,기타
4116,국왕,명,C,기타
4868,국적02,명,C,기타
878,국제02,명,B,기타
15255,국제선,명,C,기타
6023,국제적,명,C,기타
2647,국제화,명,C,감정 및 상태
1126,국회,명,C,기타
2545,국회의원,명,B,기타
1759,군04,의,B,기타
659,군05,명,B,기타
5080,군06,명,C,기타
1531,군대03,명,B,기타
3519,군데,의,B,기타
3219,군사01,명,C,기타
1613,군사04,명,C,기타
2434,군인,명,A,기타
3259,굳다,형,C,기타
3260,굳어지다,동,C,기타
2435,굳이,부,B,기타
5724,굳히다,동,C,기타
1937,굵다,형,B,기타
3261,굶다,동,C,기타
1892,굽다01,동,B,기타
2760,굽히다,동,C,기타
2990,궁극적,명,C,기타
1849,궁금하다01,형,B,기타
1672,권01,의,A,기타
1451,권리,명,C,기타
2153,권위,명,C,기타
6963,권투01,명,B,기타
2330,권하다,동,B,기타
840,귀01,명,A,기타
7459,귀가03,명,C,기타
7188,귀가하다01,동,C,기타
5725,귀국02,명,B,기타
3307,귀국하다,동,B,기타
3220,귀신01,명,C,기타
2617,귀엽다,형,B,기타
4772,귀중하다01,형,C,기타
3679,귀찮다,형,C,기타
3221,귀하다,형,C,기타
8685,귓속,명,C,기타
778,규모,명,C,기타
1552,규정04,명,C,기타
2127,규칙02,명,B,기타
4117,규칙적,명,B,기타
1778,균형,명,C,기타
10419,귤,명,C,기타
15,그01,대,A,기타
9,그01,관,A,기타
1164,그02,감,A,기타
5726,그간,명,C,기타
139,그거,대,A,기타
48,그것,대,A,기타
860,그곳,대,A,기타
2307,그나마,부,C,기타
672,그날,명,A,기타
303,그냥,부,B,기타
69,그녀,대,C,기타
4183,그놈,대,C,기타
2436,그늘,명,B,기타
2852,그다음,명,B,기타
2463,그다지,부,B,기타
3852,그대,대,C,기타
340,그대로,부,B,기타
473,그동안,명,A,기타
187,그때,명,A,기타
6189,그때그때,부,C,기타
330,그래01,감,A,기타
1229,그래03,불,A,기타
692,그래도,불,B,기타
134,그래서,부,A,기타
9061,그래서,불,A,기타
4586,그래야,불,C,기타
8686,그래픽,명,C,기타
1553,그램,의,B,기타
34,그러나,부,A,기타
785,그러니까,부,A,기타
79,그러다,동,C,기타
636,그러면,부,A,기타
1127,그러므로,부,B,기타
426,그러하다,형,B,기타
54,그런01,관,B,기타
4326,그런대로,부,C,기타
142,그런데,부,A,기타
5727,그럴듯하다,형,C,기타
457,그럼01,부,A,기타
2736,그럼02,감,A,기타
,그렇게,불,B,기타
38,그렇다,형,A,기타
3393,그렇지,감,B,기타
1120,그렇지만,부,A,기타
2888,그려지다,동,B,기타
6025,그루01,의,C,기타
879,그룹01,명,B,기타
1563,그릇01,명,A,기타
1388,그리02,부,B,기타
52,그리고,부,A,기타
439,그리다02,동,A,기타
9484,그리로,부,C,기타
6752,그리움,명,C,기타
7460,그리워하다,동,C,기타
1183,그리하여,부,C,기타
362,그림01,명,A,기타
1504,그림자,명,B,기타
3853,그립다,형,B,기타
745,그만02,부,B,기타
1866,그만두다,동,B,기타
1532,그만큼,부,B,기타
6550,그만하다,형,B,기타
2706,그분,대,A,기타
6754,그사이,명,C,기타
2308,그야말로,부,C,기타
2171,그이01,대,C,기타
1197,그저,부,C,기타
20155,그저께,명,C,기타
6026,그전,명,C,기타
4261,그제서야,부,C,기타
5866,그제야,부,C,기타
1085,그중,명,B,기타
3027,그쪽,대,A,기타
1150,그치다,동,B,기타
3222,그토록,부,C,기타
3794,그해,명,B,기타
2352,극05,명,C,기타
4118,극복01,명,C,기타
1355,극복하다01,동,C,기타
5728,극작가,명,C,기타
2331,극장,명,A,장소
2991,극히,부,C,기타
1260,근거,명,C,기타
3912,근거하다,동,C,기타
8687,근교,명,C,기타
563,근데01,부,B,기타
4871,근래,명,C,기타
3628,근로02,명,C,기타
1971,근로자,명,B,기타
2707,근무,명,B,기타
2761,근무하다,동,B,기타
2378,근본,명,C,기타
1587,근본적,명,C,기타
2918,근원,명,C,기타
2648,근육,명,C,기타
1151,근처,명,A,기타
252,글,명,B,기타
1972,글쎄01,감,B,기타
4119,글쎄요,감,B,기타
2403,글쓰기,명,B,기타
3976,글씨,명,B,기타
1564,글자,명,B,기타
4773,긁다,동,C,기타
9942,금02,명,C,기타
5323,금06,명,B,기타
,금강산,고,C,자연 및 환경
6029,금고02,명,C,기타
3262,금년,명,B,기타
8018,금메달,명,C,기타
1597,금방01,부,B,기타
3571,금세01,부,C,기타
3913,금액02,명,C,기타
5868,금연01,명,B,기타
7714,금요일,명,A,직업 및 활동
2591,금지04,명,B,기타
5586,금지되다,동,C,기타
4774,금지하다,동,B,기타
4976,금하다02,동,C,기타
1289,급04,명,A,기타
5324,급격히,부,C,기타
5460,급속히,부,C,기타
5461,급증하다,동,C,기타
2437,급하다,형,B,기타
4676,급히,부,C,기타
3854,긋다01,동,C,기타
2952,긍정적,명,B,기타
1607,기13,명,C,기타
5730,기23,명,C,기타
678,기간07,명,B,기타
910,기계07,명,B,기타
449,기관11,명,C,기타
3178,기구14,명,C,기타
1250,기구15,명,C,기타
3263,기기13,명,C,기타
4677,기념02,명,C,기타
26081,기념일,명,C,직업 및 활동
13162,기념품,명,C,기타
6757,기념하다,동,C,기타
5325,기능01,명,C,기타
531,기능03,명,C,기타
5085,기다01,동,C,기타
298,기다리다,동,A,기타
1442,기대03,명,B,기타
3680,기대다01,동,C,기타
4977,기대되다,동,C,기타
1303,기대하다,동,B,기타
6758,기도03,명,B,기타
5587,기도하다02,동,C,기타
4328,기독교,명,C,기타
3855,기둥01,명,C,기타
1094,기록02,명,C,기타
4185,기록되다,동,C,기타
1261,기록하다,동,B,기타
882,기르다,동,B,기타
1893,기름01,명,B,기타
5326,기막히다,형,C,기타
2853,기법01,명,C,문화 및 사회
842,기본,명,B,기타
1779,기본적,명,C,기타
525,기분01,명,A,감정 및 상태
3308,기뻐하다,동,B,기타
1625,기쁘다,형,B,감정 및 상태
1633,기쁨,명,B,기타
4775,기사02,명,B,기타
1342,기사10,명,B,기타
5588,기성08,명,C,기타
5870,기성세대,명,C,기타
4776,기숙사,명,A,기타
328,기술01,명,B,기타
4046,기술자,명,C,기타
5871,기술하다01,동,C,기타
847,기억02,명,B,기타
7464,기억나다,동,B,기타
9945,기억되다,동,C,기타
1905,기억하다02,동,B,기타
292,기업01,명,C,기타
9066,기업인,명,C,기타
5184,기여04,명,C,기타
2992,기여하다,동,C,기타
2379,기온,명,B,기타
2822,기운01,명,B,기타
5732,기울다,동,C,기타
1282,기울이다,동,C,기타
4587,기원05,명,C,기타
3067,기원전,명,C,기타
637,기자05,명,B,기타
5733,기적03,명,C,기타
779,기준03,명,B,기타
2919,기차01,명,A,기타
1235,기초06,명,B,기타
8690,기초적,명,C,기타
3223,기초하다03,동,C,기타
7466,기침01,명,B,기타
3068,기타01,명,C,기타
6372,기타02,명,B,기타
5185,기호01,명,C,기타
12347,기혼02,명,C,기타
770,기회03,명,B,기타
2823,기획01,명,C,기타
2404,기후05,명,C,기타
3069,긴급,명,C,기타
2464,긴장,명,B,기타
6969,긴장감,명,C,기타
9069,긴장되다,동,C,기타
3856,긴장하다,동,B,기타
173,길01,명,A,기타
4588,길가,명,B,기타
6760,길거리,명,B,기타
386,길다02,형,A,기타
6374,길어지다,동,C,기타
1283,길이01,명,B,기타
6970,김01,명,C,기타
4405,김03,명,B,기타
6553,김04,의,C,기타
7720,김밥,명,A,기타
2207,김치01,명,A,기타
16599,김치찌개,명,B,기타
,김포공항,고,B,기타
461,깊다,형,B,기타
4980,깊숙이,부,C,기타
3224,깊이01,명,B,기타
1634,깊이02,부,B,기타
9949,까다01,동,C,기타
954,까닭,명,B,기타
26135,까만색,명,B,기타
3264,까맣다,형,B,기타
9498,까먹다,동,C,음식
5872,까치01,명,C,기타
,깍두기,명,C,기타
2465,깎다,동,A,기타
5463,깔끔하다,형,C,기타
3180,깔다,동,C,기타
2650,깔리다01,동,C,기타
9500,깜빡,부,B,기타
2762,깜짝02,부,B,기타
9501,깡패,명,C,기타
1939,깨끗이,부,B,기타
1471,깨끗하다,형,A,기타
9072,깨끗해지다,동,C,기타
2277,깨다01,동,B,기타
3394,깨다02,동,B,기타
1139,깨닫다,동,C,기타
4329,깨달음,명,C,기타
5589,깨뜨리다,동,C,기타
6375,깨소금,명,C,기타
3681,깨어나다,동,C,기타
8322,깨어지다,동,C,기타
4495,깨우다01,동,C,기타
2792,깨지다,동,B,기타
791,꺼내다,동,B,기타
3795,꺼지다01,동,B,기타
3070,꺾다,동,C,기타
4262,껌,명,B,기타
2309,껍질,명,B,기타
1828,꼬리01,명,C,기타
4407,꼬마,명,C,기타
2993,꼭02,부,C,기타
397,꼭03,부,A,기타
3796,꼭대기,명,B,기타
1176,꼴01,명,C,기타
5464,꼼꼼하다,형,C,기타
5590,꼼짝,부,C,기타
3682,꼽히다01,동,C,기타
3462,꽂다,동,C,기타
470,꽃01,명,A,자연 및 환경
9951,꽃씨,명,C,자연 및 환경
6761,꽃잎,명,B,자연 및 환경
3395,꽉,부,C,기타
1608,꽤01,부,B,기타
3028,꾸다01,동,B,기타
9503,꾸다02,동,C,기타
5186,꾸리다01,동,C,기타
1635,꾸미다,동,B,기타
9952,꾸준하다,형,C,기타
2889,꾸준히,부,B,기타
6031,꾸중,명,C,기타
4982,꿀,명,B,기타
535,꿈01,명,A,추상적 개념
3071,꿈꾸다,동,B,추상적 개념
5873,꿈속,명,B,추상적 개념
2495,끄다01,동,A,기타
2208,끄덕이다,동,B,기타
4496,끈01,명,C,기타
4497,끊기다,동,C,기타
1614,끊다,동,B,기타
3797,끊어지다,동,B,기타
4498,끊임없다,형,C,기타
1839,끊임없이,부,C,기타
568,끌다,동,B,기타
5736,끌리다,동,C,기타
6032,끌어당기다,동,C,기타
2854,끓다,동,B,기타
1416,끓이다01,동,B,기타
333,끝01,명,A,기타
376,끝나다,동,A,기타
2332,끝내,부,B,기타
1452,끝내다,동,A,기타
4186,끝없다,형,C,기타
4408,끝없이,부,C,기타
6033,끼01,명,C,기타
4331,끼다02,동,B,기타
2072,끼다03,동,B,기타
4187,끼어들다,동,C,기타
3396,끼우다01,동,C,기타
8,나03,대,A,기타
196,나가다,동,A,동작
368,나가다,보,A,동작
304,나누다,동,B,기타
5327,나누어지다,동,C,기타
4874,나뉘다,동,C,기타
104,나다01,동,A,기타
317,나다01,보,B,기타
6559,나들이01,명,C,기타
226,나라01,명,A,장소
2353,나란히,부,C,기타
4409,나르다01,동,C,기타
1095,나름,의,C,기타
1290,나머지,명,B,기타
540,나무01,명,A,자연 및 환경
4047,나물01,명,B,기타
3225,나뭇가지,명,B,기타
4778,나뭇잎,명,B,기타
5874,나비03,명,B,기타
6379,나빠지다,동,B,기타
873,나쁘다01,형,A,기타
458,나서다,동,B,기타
820,나아가다,동,C,동작
4679,나아지다,동,C,기타
50,나오다,동,A,동작
429,나이01,명,A,기타
1018,나중01,명,A,기타
3265,나침반,명,C,기타
160,나타나다,동,B,기타
588,나타내다,동,B,기타
11024,나흘,명,B,기타
5328,낙엽,명,B,기타
2278,낚시,명,B,기타
9505,낚시꾼,명,C,기타
9075,낚싯대,명,C,기타
